event_title,latitude,longitude,event_date,precip_24h_mm,precip_3day_api_mm,soil_moisture_swvl1,target,elevation_m,slope_deg
Joshimath Landslide,30.55,79.56,2021-02-07,0.29,81.24,0.3136,1,2087.0,24.41
Chamoli Debris Flow,30.38,79.73,2021-02-07,0.01,88.29,0.1916,1,5007.0,29.67
Rainagar Slope Failure,30.48,79.62,2021-05-20,1165.32,1733.5,0.4288,1,2420.0,4.98
Pipalkoti Road Block,30.43,79.43,2021-07-12,1133.01,2067.83,0.4454,1,1326.0,15.77
Helang Debris Slide,30.52,79.51,2021-08-28,1508.55,2507.69,0.4287,1,1589.0,22.4
Nandaprayag Rockfall,30.33,79.32,2021-09-18,1.55,236.04,0.4319,1,887.0,30.7
Badrinath Highway Slide,30.74,79.49,2021-10-18,1485.26,1553.01,0.3958,1,3121.0,12.01
Non_Event_1,30.29999999999999,79.49999999999999,2021-12-15,2.23,6.2,0.4001,0,2174.0,13.04
Non_Event_2,30.29999999999999,79.39999999999999,2021-03-13,1.24,15.79,0.3496,0,1851.0,25.88
Non_Event_3,30.499999999999996,79.59999999999998,2021-04-13,0.46,7.82,0.3713,0,2666.0,26.48
Non_Event_4,30.499999999999996,79.3,2021-12-10,0.02,8.6,0.3799,0,2527.0,8.23
Non_Event_5,30.599999999999994,79.69999999999997,2021-10-21,0.97,2331.56,0.4067,0,5593.0,56.64
Non_Event_6,30.8,79.9,2021-10-04,7.8,53.56,0.3305,0,5503.0,33.82
Non_Event_7,30.9,79.49999999999999,2021-11-10,0.02,0.08,0.3215,0,5212.0,12.17
Non_Event_8,30.9,79.2,2021-02-28,6.92,127.2,0.2169,0,5108.0,17.26
Non_Event_9,30.39999999999999,79.79999999999997,2021-02-20,0.0,26.54,0.0977,0,5097.0,23.6
Non_Event_10,30.8,79.2,2021-12-12,0.3,0.36,0.5214,0,5077.0,7.43
Non_Event_11,30.9,79.49999999999999,2021-02-19,0.0,2.42,0.2095,0,5212.0,12.17
Non_Event_12,30.2,79.49999999999999,2021-01-02,0.31,0.31,0.3118,0,2373.0,16.6
Non_Event_13,30.8,79.49999999999999,2021-11-06,0.08,4.64,0.3507,0,3823.0,51.4
Non_Event_14,30.499999999999996,79.79999999999997,2021-10-28,0.46,7.69,0.2624,0,4238.0,40.79
