time,precip_mm_day
2021-01-01,0.05473604
2021-01-02,29.48629
2021-01-03,79.45305
2021-01-04,51.600414
2021-01-05,309.90424
2021-01-06,265.60596
2021-01-07,13.020472
2021-01-08,1.9337683
2021-01-09,0.1633665
2021-01-10,0.020016342
2021-01-11,0.01153876
2021-01-12,0.017624913
2021-01-13,0.0068343645
2021-01-14,0.08809343
2021-01-15,0.58895814
2021-01-16,0.036098614
2021-01-17,0.0004125759
2021-01-18,3.9765997
2021-01-19,25.869019
2021-01-20,40.06385
2021-01-21,10.861222
2021-01-22,2.8412495
2021-01-23,43.771225
2021-01-24,6.6951127
2021-01-25,1.775887
2021-01-26,0.13206275
2021-01-27,0.24988401
2021-01-28,13.49518
2021-01-29,8.566409
2021-01-30,22.642443
2021-01-31,21.494831
2021-02-01,17.101768
2021-02-02,6.9665384
2021-02-03,23.974472
2021-02-04,67.833565
2021-02-05,33.678055
2021-02-06,4.094101
2021-02-07,0.17994359
2021-02-08,0.0021419919
2021-02-09,4.068819
2021-02-10,33.290684
2021-02-11,3.5349488
2021-02-12,3.1010904
2021-02-13,9.12936
2021-02-14,12.886804
2021-02-15,5.4356413
2021-02-16,4.5917635
2021-02-17,7.6353397
2021-02-18,21.081436
2021-02-19,22.411879
2021-02-20,2.1630812
2021-02-21,5.8113155
2021-02-22,12.745974
2021-02-23,28.969614
2021-02-24,9.674312
2021-02-25,22.465107
2021-02-26,16.048735
2021-02-27,99.84369
2021-02-28,9.063786
2021-03-01,5.9820833
2021-03-02,8.774636
2021-03-03,17.96968
2021-03-04,44.091988
2021-03-05,45.067787
2021-03-06,21.359026
2021-03-07,158.65594
2021-03-08,205.6406
2021-03-09,14.387026
2021-03-10,6.1944423
2021-03-11,1.9666169
2021-03-12,9.258383
2021-03-13,2.169951
2021-03-14,2.623937
2021-03-15,2.2176664
2021-03-16,1.9984462
2021-03-17,3.8379238
2021-03-18,1.3358297
2021-03-19,1.599237
2021-03-20,3.3031123
2021-03-21,10.269888
2021-03-22,45.753662
2021-03-23,114.51759
2021-03-24,22.449162
2021-03-25,2.5975642
2021-03-26,0.12323828
2021-03-27,3.5517297
2021-03-28,25.333496
2021-03-29,75.12489
2021-03-30,36.803917
2021-03-31,26.649282
2021-04-01,12.516581
2021-04-02,20.176811
2021-04-03,5.102468
2021-04-04,3.088942
2021-04-05,97.97792
2021-04-06,102.41379
2021-04-07,195.73892
2021-04-08,24.439068
2021-04-09,5.992584
2021-04-10,3.1466682
2021-04-11,1.5510151
2021-04-12,11.740282
2021-04-13,1.1277995
2021-04-14,3.2948256
2021-04-15,2.7267053
2021-04-16,41.018944
2021-04-17,131.18466
2021-04-18,28.632256
2021-04-19,7.629273
2021-04-20,157.78123
2021-04-21,253.56955
2021-04-22,149.24965
2021-04-23,263.76425
2021-04-24,40.90471
2021-04-25,1.1382957
2021-04-26,1.8504001
2021-04-27,11.890623
2021-04-28,2.6693358
2021-04-29,15.916992
2021-04-30,9.214193
2021-05-01,10.131384
2021-05-02,31.32919
2021-05-03,26.11961
2021-05-04,68.347435
2021-05-05,106.554
2021-05-06,47.227295
2021-05-07,83.84471
2021-05-08,24.333424
2021-05-09,21.77786
2021-05-10,23.781189
2021-05-11,35.59845
2021-05-12,25.884804
2021-05-13,58.678173
2021-05-14,30.94735
2021-05-15,14.746693
2021-05-16,2.955727
